,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,CarbonReduction,LossFromReduction,Reputation,LossFromReputation,Optimal
473,Cap distance,Conference,Medium,High,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
474,As-is,Meetings,Low,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
475,Carbon tax/distance,Meetings,High,Medium,High,No,1.03834,0.0,-1.94029,0.0,No
476,As-is,Meetings,Low,High,Low,No,-1.38611,0.0,0.51539,0.0,No
477,Cap distance,Conference,High,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
478,As-is,Conference,Medium,Low,Medium,No,-1.38611,0.0,-1.94029,0.0,No
479,Carbon tax/flight,Workshop,Low,High,High,Yes,0.85948,0.0,0.51539,0.0,No
480,Carbon tax/distance,Workshop,Low,Medium,Medium,No,1.03834,0.0,0.51539,0.0,No
481,As-is,Conference,Low,Low,Low,No,-1.38611,0.0,0.51539,0.0,No
482,Cap distance,Meetings,High,Medium,Low,No,-0.51172,0.0,0.51539,0.0,No
483,Carbon tax/distance,Meetings,Low,Low,Medium,No,1.03834,0.0,-1.94029,0.0,No
484,Carbon tax/distance,Workshop,Medium,Medium,High,Yes,1.03834,0.0,0.51539,0.0,No
485,Carbon tax/distance,Meetings,High,High,High,Yes,1.03834,0.0,0.51539,0.0,No
486,Carbon tax/distance,Conference,High,Low,Medium,No,1.03834,0.0,-1.94029,0.0,No
487,Carbon tax/flight,Meetings,Low,Medium,Medium,No,0.85948,0.0,0.51539,0.0,No
488,Cap distance,Conference,High,High,Low,No,-0.51172,0.0,0.51539,0.0,No
489,Carbon tax/flight,Conference,Medium,Medium,High,No,0.85948,0.0,0.51539,0.0,No
490,Cap distance,Conference,Low,Medium,High,Yes,-0.51172,0.0,0.51539,0.0,No
491,Carbon tax/flight,Workshop,Low,Low,Medium,Yes,0.85948,0.0,0.51539,0.0,No
492,As-is,Meetings,High,High,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
493,Cap distance,Workshop,High,Low,Low,Yes,-0.51172,0.0,0.51539,0.0,No
494,Carbon tax/distance,Conference,Medium,Medium,Medium,No,1.03834,0.0,0.51539,0.0,No
495,Cap distance,Meetings,Medium,High,Low,No,-0.51172,0.0,0.51539,0.0,No
496,Carbon tax/distance,Conference,Low,Medium,Low,No,1.03834,0.0,0.51539,0.0,No
497,As-is,Conference,High,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
498,Cap distance,Meetings,Medium,Low,Low,Yes,-0.51172,0.0,0.51539,0.0,No
499,Cap distance,Meetings,High,Low,High,No,-0.51172,0.0,-1.94029,0.0,No
500,Carbon tax/flight,Conference,Medium,Low,Medium,Yes,0.85948,0.0,0.51539,0.0,No
501,Cap distance,Workshop,Low,Low,Low,No,-0.51172,0.0,0.51539,0.0,No
502,Carbon tax/flight,Meetings,Medium,Medium,High,Yes,0.85948,0.0,0.51539,0.0,No
503,Carbon tax/flight,Conference,Low,Low,Low,Yes,0.85948,0.0,0.51539,0.0,No
